source_group,number_of_sources,total
AU-QPRO|AU-SAUS|AuCNLKIN,3,15
AU-ANU:ADBO|AU-APAR|AU-APAR:S,3,58
,1,78
AU-ANU:OA|AU-VU:AWR,2,21
AU-VPRO|AU-VU|AU-VU:EOAS|AuCNLKIN,4,2
AU-ANU:ADBO|AU-ANU:OA|AU-NUN:DAAO|AU-VU:AWR|AU-VU:EOAS|AuCNLKIN,6,1
AU-APAR|AU-VU:AWR|AuCNLKIN,3,53
AU-APC:WB|AuCNLKIN,2,27
AU-ANL:MA|AU-NAMC|AU-SAUS|AU-VU:AWR|AuCNLKIN,5,2
AU-NUN:DAAO|AU-VU:EOAS|AuCNLKIN,3,43
AU-ANU:ADBO|AU-VU:AWR|AuCNLKIN,3,84
AU-SAUS|AU-VU:EOAS|AuCNLKIN,3,27
AU-APAR|AU-APAR:S|AuCNLKIN,3,35
AU-APAR:S,1,21
AU-SUSA|AU-YORCID,2,5
AU-ANU:ADBO|AU-VU:AWR|AU-VU:EOAS,3,56
AU-NTSM|AU-YORCID,2,16
AU-NUN:DAAO|AU-VASD,2,16
AU-VU|AU-VU:EOAS,2,35
AU-NAMO|AuCNLKIN,2,63
AU-AIAS|AU-NUN:DAAO|AuCNLKIN,3,181
AU-ANU:OA|AU-APAR,2,10
AU-APAR:S|AuCNLKIN,2,9
AU-AIAS|AU-SAUS,2,6
AU-ANL:MA-DM|AuCNLKIN,2,22
AU-NU|AU-YORCID,2,4
AU-SUSA,1,84
AU-QUT:GP,1,13
AU-NTSM|AU-VU:EOAS|AU-YORCID|AuCNLKIN,4,1
AU-AIAS|AU-NUN:DAAO|AU-SAUS|AuCNLKIN,4,8
AU-ANU:OA|AU-NUN:DAAO,2,38
AU-SAUS|AU-VU:AWR|AuCNLKIN,3,36
AU-NUN:DAAO|AU-VU:AWR|AuCNLKIN,3,48
AU-SAUS|AU-VU|AU-VU:EOAS|AuCNLKIN,4,3
AU-AIAS|AU-ANU:OA|AuCNLKIN,3,21
AU-NNCU|AU-VU:EOAS,2,1
AU-ANU:ADBO|AU-ANU:OA|AU-QPRO|AU-VU:EOAS|AuCNLKIN,5,1
AU-ANU:ADBO|AU-NUN:DAAO|AU-VU:AWR|AU-VU:EOAS|AuCNLKIN,5,6
AU-WS:AUS|AuCNLKIN,2,11
AU-VU:EOAS|AU-YORCID|AuCNLKIN,3,33
AU-TU,1,34
AU-QGU|AuCNLKIN,2,51
AU-VANDS,1,49
AU-QJCU|AU-SAUS|AuCNLKIN,3,1
AU-VU|AU-VU:AWR|AU-YORCID|AuCNLKIN,4,1
AU-VU:EOAS|AU-YORCID,2,23
AU-TU|AU-YORCID,2,9
AU-SUA,1,28
AU-ANL:MA|AU-ANL:MA-DM|AU-NAMO,3,1
AU-SAUS|AU-VANDS|AuCNLKIN,3,4
AU-ANU:ADBO|AU-SAUS,2,98
AU-NUN:DAAO|AU-YORCID,2,6
AU-ANU:ADBO|AU-VU|AU-VU:EOAS,3,26
AU-NMQU,1,9
AU-ANU:ADBO|AU-APAR|AU-SAUS|AuCNLKIN,4,5
AU-NAMO|AU-SAUS,2,8
AU-ANU:ADBO|AU-NUN:DAAO|AU-VU:EOAS,3,25
AU-AIAS|AU-NAMO|AU-NUN:DAAO|AuCNLKIN,4,1
AU-ANU:ADBO|AU-NUN:DAAO|AU-VU:AWR|AuCNLKIN,4,29
AU-NSAL|AuCNLKIN,2,17
AU-QUT:GP|AU-YORCID,2,15
AU-NUWS|AU-YORCID,2,21
AU-SAUS|AU-VU|AuCNLKIN,3,5
AU-ANU:ADBO|AU-SAUS|AU-VU:AWR|AuCNLKIN,4,16
AU-AIAS|AU-VU:EOAS|AuCNLKIN,3,15
AU-NUNE,1,1
AU-NTSM|AU-YORCID|AuCNLKIN,3,17
AU-ANU:ADBO|AU-NSAL,2,44
AU-NUN:DAAO|AU-VASD|AuCNLKIN,3,12
