occupation,total
Video Artist,357
Mime,102
Front of House,404
New Media Artist,137
petrol-tanker driver,1
Businessman,711
Bankers,14
Television Journalist,58
Poets,412
Botanist,259
Philosophers,310
Equity,11
Primary Health Care,8
Journalists,434
"Member for Mackellar, New South Wales",4
Engraver,44
Evolution and Biogeography,2
Eucalyptologist,2
Repetiteur,178
Theatre / Film Designer,86
Friars,18
"Member for Rankin, Queensland",2
Bricklayer,2
Trade Union Leader,76
Baritone,246
Librettist,510
racehorse owner ,1
Translators,484
Make-up Artist,329
Make-up Specialist,3
Ballet Master/Mistress,207
Film Producer,19
Actress,99
Co-director,1
Student,38
Editor,526
Navies--Officers,8
University Club,58
"Clubs, sporting",24
Printers,144
Mixed Media Artist,341
Follow Spot Operator,178
Cattle Breeder,45
Park Ranger,3
Hair Stylist,96
Radiophysicist,19
Screen Artist,103
Oboist,85
Medical Practitioner,345
Anaesthetist,29
Collaborator,200
Puppeteer,484
University committee,132
Professor,176
Public officers,30
Headmaster,72
Union Leader,9
Technical Director,289
Novelists,318
Politicians,225
Political Cartoonist,6
Astrophysics,28
Astronomy,22
Thailand,5
Southeast Asia,11
Foreign Policy Analysis,1
International Relations,13
Ideational Approach to IR,1
Bass,191
Arts administrator,14
Political activists,122
Educators,145
Community activists,8
Restaurateur,25
Gallery Director,12
Organist,235
Healers,5
Evangelists,22
Banker,106
Military History,2
Australian History,4
Army Nursing,1
Plant Collector,2
Urban Commons,1
Wellbeing,20
Healthy Cities,1
Co-design,2
Child-friendly Spaces,1
Cycling,4
Play Spaces,1
Health,45
Co-production,2
Healhty Planning,1
Play,2
Intelligent Communities,1
Urban Design,10
Social Encounter,1
Production Of Space,1
Walking,4
Active Travel,3
Sustainable Transport,1
Eco-Mobility,1
Conscious Cities,1
Public Space,4
Storeman,4
Milliner,26
Sports Coach,1
Sports Administrator,57
Physical Education Teacher,3
Methodist minister,41
Merchants,29
Abolitionists,18
Master Bricklayer,1
Architect,308
Hornist,92
Contralto,109
Mining Entrepreneur,13
Hospital Proprietress,2
Traditional Aboriginal custodian,6
Marketing / Box office / Sales,44
Alpine Skier,32
Civil engineer,74
Coalminer,21
Mayor,131
Petroleum scientist,1
Semiticists,3
Music teacher,72
Collective,31
Studio/business,46
Glass & metal Artist / Designer,111
Weaver,123
Carver,184
University Board,18
Etcher,14
Art Teacher,27
Orchestra,190
Sensory Biolo,1
Cartilaginous Fishes,1
Brain Evolution,1
Allometry,2
Comparative Neuroscience,1
Evolution,58
Baptist Minister,3
Child Welfare Worker,26
Smart Cities,4
Innovation Programs,1
Feminists,133
Collaboration,26
Administrator,625
Coffee Merchant,1
Senator for New South Wales,127
Executive Producer,168
Author of children’s fiction,1
Wildlife artist,1
Administrators,1
"Member for Lingiari, Northern Territory",1
Executives,23
Executive,109
Auditor,4
"Directors and producers, India",4
"Stage Manager, Assistant",146
Dance Group,93
Antioxidant,3
Nutrition,63
Insulin,4
Pig,2
Oxidative Stress,15
Intestine,2
Heat Stress,3
Businessmen,53
Trotting Promoter,1
Clarinetist,168
Premier,94
Short Story Writer,10
Assistant to the Director,129
Wig Stylist,60
Biblical scholars,136
Commonwealth or Empire Games gold medalist,326
Physicians,113
Publisher,162
Musical Supervisor,134
Orchestrator,132
Soubrette,41
Inventor,87
Ophthalmologist,20
Environmentalist,78
Saxophonist,165
Palaeontologist,33
Nurse educator,39
Performing arts educator,1
Narrator,178
Aeronautical engineer,16
Computer scientist,45
Vigneron,47
Stage Director,411
Secondment,111
Animal Cognition,2
Animal Communication,2
Animal Behaviour,15
Multimodal Signals,1
Industrial chemist,90
Labor propagandist,2
"Member for Wannon, Victoria",11
Domestic Servant,7
Domestic servants,38
Arrernte woman,1
Media Artist,95
Movement Director,189
Engineers,53
Philanthropist,273
Church Worker,11
Deans (Education),10
Women educators,1
Biotechnology,21
Intellectual Capital,2
Epigenetics.,1
DNA Methylation,3
Botanical collector,85
Medical practitioner,35
Business Planning,1
Action Research,10
Problem Solving,5
Biomechanics,32
Ecophysiology,19
Functional Morphology,2
Diver,24
Behavioural Ecology,22
Colouration,1
Sex Allocation,2
Maternal Effects,3
Water Cycle,4
Regional Climate,2
Remote Sensing,56
Hydrology,24
Comic book artist,134
Circus Consultant,9
Sclerochronology,2
Paleontology,8
3D Modeling,1
Bayesian Inference,5
Evapotranspiration,3
Drought,9
Sea Captain,8
Professional Photographer,36
contractor and stevedore,1
Geophysicist,46
Geoscientist,5
Violist,232
